platform_code,time,latitude,longitude,observation_depth,ztmp,zsal
,UTC,degrees_north,degrees_east,,Deg C,
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,451.8,3.77,33.97
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,453.8,3.77,33.97
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,455.8,3.77,33.97
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,457.8,3.76,33.98
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,459.7,3.76,33.98
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,461.7,3.76,33.98
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,463.7,3.76,33.98
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,465.7,3.76,33.99
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,467.6,3.76,33.99
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,469.6,3.75,33.99
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,471.6,3.75,33.99
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,473.6,3.75,33.99
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,475.6,3.75,33.99
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,477.5,3.75,33.99
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,479.5,3.75,34.0
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,481.5,3.75,34.0
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,483.5,3.75,34.0
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,485.4,3.75,34.0
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,487.4,3.75,34.0
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,489.4,3.75,34.0
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,491.4,3.75,34.0
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,493.4,3.74,34.01
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,495.3,3.74,34.01
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,497.3,3.74,34.01
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,499.3,3.74,34.02
